256,0.018098
256,0.018624
256,0.018364
256,0.018816
256,0.018327
512,0.076757
512,0.076233
512,0.076608
512,0.078306
512,0.076089
1024,0.309589
1024,0.306192
1024,0.308130
1024,0.306788
1024,0.308089
2048,1.255870
2048,1.252300
2048,1.256208
2048,1.253413
2048,1.254447
3072,2.857565
3072,2.855862
3072,2.853563
3072,2.860005
3072,2.849007
4096,5.237070
4096,5.232901
4096,5.230755
4096,5.227408
4096,5.232692
5120,8.345497
5120,8.364558
5120,8.340091
5120,8.347446
5120,8.330390
7680,18.978116
7680,18.978917
7680,18.973641
7680,19.003310
7680,18.972642
8192,22.418493
8192,22.444602
8192,22.483692
8192,22.482972
8192,22.377787
10240,34.090050
10240,34.112367
10240,34.058890
10240,34.155616
10240,34.096329
12800,53.123180
12800,53.067124
12800,52.880948
12800,53.016844
12800,53.104881
